n_labelled,r2_active_learning,r2_random
100,0.9359946001215309,0.9448857529869894
150,0.9371101187219365,0.9513579711519917
200,0.955272911613459,0.9633843122099808
250,0.9602304363643839,0.9727983312116413
300,0.9613137458481161,0.9748833387947019
350,0.9646582892161909,0.9753951685701766
400,0.9658849205791091,0.9733089716757728
450,0.9656250537741552,0.9754832632302141
500,0.9692144456317642,0.976406090562133
550,0.9724621338646982,0.9766695255645151
600,0.9729924596231296,0.9792721035442234
