feature,mean_abs_shap
n_N,1.7995696559870056
maccs_161,1.0835664254756308
SMR_VSA1,0.43469115047101897
SMR_VSA3,0.3535385432196644
maccs_142,0.20031339261183256
n_F,0.16263063327367822
MeanEStateIndex,0.14974837815653574
maccs_158,0.14652263235316912
mean_electronegativity,0.14046857397273854
HOMO_proxy,0.11920582433482771
MaxEStateIndex,0.08027631911786899
HallKierAlpha,0.07068651448447108
maccs_151,0.06696433954211213
PEOE_VSA6,0.05568816817397429
EState_VSA10,0.05486297725369244
SlogP_VSA10,0.051956560797253706
SlogP_VSA1,0.051673245522284306
dipole_proxy,0.04862827323790098
n_O,0.04671277244382297
BCUT2D_MWHI,0.045632163271543874
