mol_id,smiles,dn_pred_rf_v2,dn_pred_xgb_v2,dn_pred_mlp_v2,dn_pred_lgbm_v2,dn_pred_cat_v2,dn_pred_stack_v2
3532,Nc1ccccn1,32.69045967579135,36.4502,34.011928954617595,35.33297835138756,37.589096237597886,36.9521747573434
1890,c1cnc(-n2cnc3ncncc32)cn1,33.80199790380158,33.940056,33.45401862393369,33.49626056319016,34.228460447682224,33.95874799594655
1889,c1cc(-n2cnc3ncncc32)ccn1,33.784277481001,33.692566,33.33413999375969,33.29179660505644,33.839592376487296,33.628384182291
1873,CCNn1cnc2ncncc21,33.230091654926426,33.21089,33.15431234957262,32.96574927030137,33.291324623011135,33.18172884327218
1874,CN(C)n1cnc2ncncc21,33.24090472951945,33.301296,33.06560355965304,33.052017935800556,33.15585538416937,33.13426700299053
1875,c1ncc2c(n1)ncn2N1CC1,33.06229504176898,33.1151,33.00606731247901,32.95379687313743,33.15515916449709,33.09576110276078
1872,CNn1cnc2ncncc21,33.17739042763326,33.139454,33.00566570797006,32.988169377603114,33.13983436794107,33.09144251576027
1894,c1ncc2c(n1)ncn2C1CCNC1,33.66183297893104,33.114326,33.00885910181716,32.737153709320744,33.30356722403534,33.05654412407508
1871,Nn1cnc2ncncc21,32.92156792151167,33.209778,33.05127637474819,32.98895489907211,32.98239235261872,33.02602316744305
41,c1ccncc1,31.388060676022015,32.891495,32.74659475526082,32.53082639528191,32.9888615788816,32.95217453935427
1888,c1ccc(-n2cnc3ncncc32)cc1,32.26980331150748,32.407677,32.073968835394346,32.6420190983511,32.29133233176081,32.43477250955183
1411,NCCCCNc1cnccn1,32.33264289556085,32.467224,32.53547212213252,32.45359483560127,32.24076050189737,32.35542791939084
1862,CCCn1cnc2ncncc21,32.273075579520224,32.300846,32.140482671742895,32.29129392665405,32.30857233203252,32.311974175286394
1863,CCCCn1cnc2ncncc21,32.325804804260954,32.229836,32.21037392011287,32.25394708657158,32.342392006700194,32.311754593437094
1372,NCCNc1cnccn1,32.27838569006542,32.372044,32.330999073299495,32.4380288272732,32.174122043202765,32.29804942080459
1528,c1cnc(N2CCNCC2)cn1,32.29150134342102,32.292526,32.48814827976792,32.223152854140395,32.203516198762,32.237089896791666
1864,CC(C)n1cnc2ncncc21,32.00987083121745,32.134018,32.04519891605081,32.188118675797476,32.186713684974066,32.20604585252654
1883,N#Cn1cnc2ncncc21,32.29890688518021,32.2105,31.864301568131967,31.96641400299668,32.36259102524161,32.20526382111052
1865,CC(C)(C)n1cnc2ncncc21,31.96245619589308,32.032135,32.07190555436683,32.04754660093784,32.107497891867006,32.10461416844772
1892,c1ncc2c(n1)ncn2C1CC1,31.94120464266132,32.07882,31.914490876100032,32.149777842335546,32.034136726337124,32.09641647275721
