mol_id,smiles,dn_pred_rf_bayes,dn_pred_xgb_bayes,dn_pred_mlp,dn_pred_stack,dn_pred_3way_blend
3532,Nc1ccccn1,32.74177185311892,36.3399,32.13998547434845,35.21624677926064,33.74055276597545
1890,c1cnc(-n2cnc3ncncc32)cn1,33.763974461741775,33.832077,32.47446211251749,33.59886050845664,33.35683786687549
1889,c1cc(-n2cnc3ncncc32)ccn1,33.73307596122633,33.611675,32.43823449915034,33.4317254555567,33.26099524094261
1894,c1ncc2c(n1)ncn2C1CCNC1,33.66865532696352,33.25345,32.26206888158838,33.1373639388344,33.06139089829334
1874,CN(C)n1cnc2ncncc21,33.23786166868376,33.249237,32.37919754314627,33.10858379543215,32.9554320907923
1873,CCNn1cnc2ncncc21,33.22735682470068,33.181767,32.405600792184046,33.0640715718167,32.9382413756315
1872,CNn1cnc2ncncc21,33.17913072161558,33.098915,32.36157196133568,32.991769058438805,32.87987259434964
1871,Nn1cnc2ncncc21,33.00553267025763,33.169956,32.15843352061239,32.98688701847311,32.77797413271514
1875,c1ncc2c(n1)ncn2N1CC1,33.04938299923573,33.06777,32.26516879264077,32.93802320411443,32.794106629600115
1411,NCCCCNc1cnccn1,32.367231507274944,32.409058,31.964506466411763,32.33956340679161,32.24693186362473
1883,N#Cn1cnc2ncncc21,32.47242385418783,32.382004,31.96502158864848,32.33181159047517,32.27314974233867
1862,CCCn1cnc2ncncc21,32.24444368809968,32.308357,32.200403674234785,32.296922588397265,32.251068200367996
1863,CCCCn1cnc2ncncc21,32.290474865404484,32.28108,32.15644058320881,32.274541295183525,32.24266459574545
1528,c1cnc(N2CCNCC2)cn1,32.3043381826936,32.31508,32.01294321866154,32.27441147869145,32.21078671223557
1372,NCCNc1cnccn1,32.31729451030093,32.335445,31.923005512407407,32.27412191878439,32.19191514225369
41,c1ccncc1,31.317219879358035,32.837326,30.346240558014753,32.23871535026561,31.50026216239249
1888,c1ccc(-n2cnc3ncncc32)cc1,32.156694239736986,32.242786,31.99523748082808,32.20356553832923,32.13157270934526
1864,CC(C)n1cnc2ncncc21,32.03934150932854,32.12517,32.11253724263343,32.128048289776984,32.09235013777964
1929,c1cc(-c2cnccn2)c2nccnc2c1,32.10548303903953,32.05736,31.976877001752847,32.062394994785365,32.046573881191854
1865,CC(C)(C)n1cnc2ncncc21,32.00418461923902,32.07033,31.93231588098275,32.05257513648887,32.0022773579027
