rank,mol_id,smiles,iupac,dn_pred,dn_pred_col,ebm,ebm_mean,ebm_q05,ebm_q95
1,230,Nc1ccccn1,Nc1ccccn1,36.68492149339982,dn_pred_stack_v2,"(35.61788984566149, 1.534263270239481, 32.513242709209976, 37.93476552302419)",35.61788984566149,32.513242709209976,37.93476552302419
2,3381,c1cnc(-n2cnc3ncncc32)cn1,c1cnc(-n2cnc3ncncc32)cn1,36.12240424965008,dn_pred_stack_v2,"(36.74309676831548, 1.7154838714880425, 34.60848617553711, 40.15580024719237)",36.74309676831548,34.60848617553711,40.15580024719237
3,21380,CN(CN)n1cnc2ncncc21,CN(CN)n1cnc2ncncc21,36.01511299993127,dn_pred_stack_v2,"(36.6589523437225, 3.587749720579503, 32.57697037712718, 45.15112386086719)",36.6589523437225,32.57697037712718,45.15112386086719
4,21371,NCCNn1cnc2ncncc21,NCCNn1cnc2ncncc21,35.876151984080856,dn_pred_stack_v2,"(37.35971759686821, 2.778162875236244, 34.62010880165505, 42.52193401600739)",37.35971759686821,34.62010880165505,42.52193401600739
5,21363,NCNn1cnc2ncncc21,NCNn1cnc2ncncc21,35.83905630597516,dn_pred_stack_v2,"(36.28607135296331, 2.5679028017196166, 32.78032445122898, 41.66949634552002)",36.28607135296331,32.78032445122898,41.66949634552002
6,21389,NC1CN1n1cnc2ncncc21,NC1CN1n1cnc2ncncc21,35.832184329395346,dn_pred_stack_v2,"(35.25847811451086, 5.267533616524064, 26.92204532623291, 45.34006683690605)",35.25847811451086,26.92204532623291,45.34006683690605
7,21369,CCCCNn1cnc2ncncc21,CCCCNn1cnc2ncncc21,35.46523233718192,dn_pred_stack_v2,"(34.36399854510551, 2.608989197805893, 29.557558250427245, 37.54611295441505)",34.36399854510551,29.557558250427245,37.54611295441505
8,21387,CCC1CN1n1cnc2ncncc21,CCC1CN1n1cnc2ncncc21,35.424688227822664,dn_pred_stack_v2,"(37.61877344346417, 3.58338407319703, 33.233770561218265, 45.28357082280047)",37.61877344346417,33.233770561218265,45.28357082280047
9,21378,CCCN(C)n1cnc2ncncc21,CCCN(C)n1cnc2ncncc21,35.35452194218372,dn_pred_stack_v2,"(32.949383788423944, 3.3758122271271174, 26.89865385230822, 36.43329696655273)",32.949383788423944,26.89865385230822,36.43329696655273
10,21361,CCCNn1cnc2ncncc21,CCCNn1cnc2ncncc21,35.332764912248656,dn_pred_stack_v2,"(37.95794791167677, 2.812211723658812, 34.54774516748597, 43.44489141909703)",37.95794791167677,34.54774516748597,43.44489141909703
11,3380,c1cc(-n2cnc3ncncc32)ccn1,c1cc(-n2cnc3ncncc32)ccn1,35.194277342996905,dn_pred_stack_v2,"(34.689175591126826, 4.165898255254237, 25.888656616210938, 40.52726334258266)",34.689175591126826,25.888656616210938,40.52726334258266
12,21383,CN(CC#N)n1cnc2ncncc21,CN(CC#N)n1cnc2ncncc21,35.1478785073933,dn_pred_stack_v2,"(35.106469548305164, 1.6045718195126948, 32.59715354080282, 37.73427972557442)",35.106469548305164,32.59715354080282,37.73427972557442
13,21374,N#CCCNn1cnc2ncncc21,N#CCCNn1cnc2ncncc21,35.09621514973165,dn_pred_stack_v2,"(35.07244821237304, 4.076195383362424, 27.622705466094967, 41.95146884918212)",35.07244821237304,27.622705466094967,41.95146884918212
14,21392,N#CC1CN1n1cnc2ncncc21,N#CC1CN1n1cnc2ncncc21,35.079967799698245,dn_pred_stack_v2,"(31.471301275368035, 3.311644593607315, 26.97128753662109, 35.64999370574951)",31.471301275368035,26.97128753662109,35.64999370574951
15,21386,CC1CN1n1cnc2ncncc21,CC1CN1n1cnc2ncncc21,35.0389331519615,dn_pred_stack_v2,"(39.068127448043214, 4.438830901797608, 34.14048983149569, 48.27838630676269)",39.068127448043214,34.14048983149569,48.27838630676269
16,21385,CN(CS)n1cnc2ncncc21,CN(CS)n1cnc2ncncc21,35.02687101171253,dn_pred_stack_v2,"(36.71742819447861, 5.706914451692533, 26.823104586939376, 45.92124347686767)",36.71742819447861,26.823104586939376,45.92124347686767
17,21377,CCN(C)n1cnc2ncncc21,CCN(C)n1cnc2ncncc21,35.01768209960901,dn_pred_stack_v2,"(33.67007263936629, 1.946482986253778, 29.699017597268732, 37.01499996185303)",33.67007263936629,29.699017597268732,37.01499996185303
18,21366,N#CCNn1cnc2ncncc21,N#CCNn1cnc2ncncc21,34.98908788520331,dn_pred_stack_v2,"(30.967400513195347, 2.792355439709878, 26.239544582366943, 34.359457397460936)",30.967400513195347,26.239544582366943,34.359457397460936
19,21376,SCCNn1cnc2ncncc21,SCCNn1cnc2ncncc21,34.95324364918063,dn_pred_stack_v2,,,,
20,3364,CCNn1cnc2ncncc21,CCNn1cnc2ncncc21,34.949327457227874,dn_pred_stack_v2,"(39.284366024923806, 3.908570540169037, 34.07196884155273, 44.79048194885254)",39.284366024923806,34.07196884155273,44.79048194885254
